year,constructorRef_mapped,avg_lap_speed,drivers
1997,mercedes,3.0742613225049453,"Salo, Verstappen"
1998,mercedes,3.039218979839157,"Takagi, Rosset"
1999,mercedes,3.1257544590061697,"Villeneuve, Zonta"
2000,mercedes,3.1620088712215524,"Villeneuve, Zonta"
2001,mercedes,3.3010002283109556,"Panis, Villeneuve"
2002,mercedes,3.273284886282003,"Panis, Villeneuve"
2003,mercedes,3.294490445211508,"Button, Villeneuve"
2004,mercedes,3.4380391288879726,"Button, Sato"
2005,mercedes,3.4372005124033627,"Button, Sato"
2006,mercedes,3.2852986108852105,"Barrichello, Button"
2007,mercedes,3.22460716807026,"Barrichello, Button"
2008,mercedes,3.1591356463444984,"Barrichello, Button"
2009,mercedes,3.2308258922076107,"Barrichello, Button"
2010,mercedes,3.164888188459162,"Rosberg, Schumacher"
2011,mercedes,3.1002267556582037,"Rosberg, Schumacher"
2012,mercedes,3.110273185922295,"Rosberg, Schumacher"
2013,mercedes,3.142192734113715,"Hamilton, Rosberg"
2014,mercedes,3.143240301021869,"Hamilton, Rosberg"
2015,mercedes,3.1593323187662494,"Hamilton, Rosberg"
2016,mercedes,3.169693847140866,"Hamilton, Rosberg"
2017,mercedes,3.3028239294264967,"Bottas, Hamilton"
2018,mercedes,3.3117854442057695,"Bottas, Hamilton"
2019,mercedes,3.3384009782913395,"Bottas, Hamilton"
2020,mercedes,3.443768636398879,"Bottas, Hamilton"
1996,racing_point,3.1084044427352673,"Barrichello, Brundle"
1997,racing_point,3.1936786746467116,"Fisichella, Schumacher"
1998,racing_point,3.1304608491880805,"Hill, Schumacher"
1999,racing_point,3.204275049963047,"Frentzen, Hill"
2000,racing_point,3.1498639351690296,"Frentzen, Trulli"
2001,racing_point,3.2242285722871777,"Trulli, Frentzen"
2002,racing_point,3.2591022856128204,"Fisichella, Sato"
2003,racing_point,3.215861960723427,"Fisichella, Firman"
2004,racing_point,3.317870261365406,"Heidfeld, Pantano"
2005,racing_point,3.2811832292720755,"Karthikeyan, Monteiro"
2006,racing_point,3.179346693197158,"Albers, Monteiro"
2007,racing_point,3.1719915245209798,"Sutil, Albers"
